category,subtype,article,colour,thickness,size,uom,on_hand,supplier_name,attributes,source_row,source_file,note
LEATHER,,SHEEP NAPPA,BLACK,,,DCM,31950,SA,"{""pcs"": ""710"", ""unit_price"": ""7""}",61,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,D.BLUE,,,DCM,371,ATC,"{""pcs"": ""6"", ""buyer_ref"": ""JP"", ""unit_price"": ""7.25""}",62,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP SPANISH,BROWN,,,DCM,1045.568,HIJAZ,"{""pcs"": ""36"", ""buyer_ref"": ""JPN"", ""unit_price"": ""10""}",63,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,BLACK,,,DCM,2148,IMP,"{""pcs"": ""33"", ""unit_price"": ""10""}",64,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP VEG,BLACK,,,DCM,9290,ASHNA,"{""pcs"": ""178.65384615384616"", ""unit_price"": ""10""}",65,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP ONE TOUCH,BLACK,,,DCM,2436,SA,"{""pcs"": ""42"", ""buyer_ref"": ""JPN"", ""unit_price"": ""8""}",66,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP GLAZE NAPPA,BLACK,,,DCM,2482,SA,"{""pcs"": ""43"", ""buyer_ref"": ""LC"", ""unit_price"": ""9""}",67,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP ANTIC,BLACK,,,DCM,1046,,"{""pcs"": ""12"", ""unit_price"": ""9""}",68,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP ONE TOUCH,L.BROWN,,,DCM,89.8,,"{""pcs"": ""16"", ""unit_price"": ""8""}",69,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP NAPPA,BEIGE,,,DCM,1949,BISMI,"{""pcs"": ""29"", ""buyer_ref"": ""JPN"", ""unit_price"": ""8""}",70,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,BEIGE,,,DCM,553,,"{""pcs"": ""11"", ""unit_price"": ""7.5""}",71,STOCK_LEATHER_TILL_31_03_2026.xlsx,
